ISCO_4d_name,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness
Armed Forces Occupations,45.68,47.81,51.15,45.81,51.02
Managers,45.34,50.41,52.26,47.33,51.2
Self-empolyed/Sole Proprietors,46.11,48.64,48.53,48.09,50.5
Unspecified Heads of Department,47.4,51.12,51.44,48.16,51.17
Self-employed/Entrepreneurs,46.49,50.49,51.8,46.32,49.97
Unspecified Board Members,44.91,50.07,51.56,46.43,50.48
Unspecified Team Leaders,48.19,51.29,52.26,48.56,50.47
Unspecified Deputy Managers,48.49,50.83,50.62,49.32,53
Maintenance Managers/Advisers Not Elsewhere Classified,48.36,48.39,50.21,48.4,49.71
Senior Government Officials,46.71,51.14,51.87,48.93,51.83
Finance Managers,47.02,50.73,50.83,48.91,53.78
Human Resource Managers,49.33,55.59,51.05,50.29,52.61
Business Services and Administration Managers Not Elsewhere Classified,46.76,51.37,49.5,46.83,50.64
Sales and Marketing Managers,47.76,53.58,50.5,46.75,50.58
Advertising and Public Relations Managers,51.46,55.86,55.32,48.55,48.72
Research and Development Managers,47.2,50.68,54.52,47.07,50.93
Manufacturing Managers,45.42,47.15,50.81,46.88,51.23
Construction Managers,45.53,48.22,50.55,45.59,52.06
Supply, Distribution and Related Managers,47.94,49.21,49.04,47.96,52.25
Information and Communications Technology Services Managers,45.91,48.62,56.73,48.76,49.31
Child Care Services Managers,48.96,54.79,50,54.38,50.49
Health Services Managers,46.62,52.04,50.58,51.43,52.2
Social Welfare Managers,49.67,53.84,51.76,52.39,51.55
Education Managers,48.53,53.58,52.34,51.89,51.46
Professional Services Managers Not Elsewhere Classified,48.36,49.85,51.84,50.24,49.59
Hotel Managers,49.75,53.5,51.12,49.75,50.96
Restaurant Managers,50.6,54.31,50.28,49.82,49.58
Retail and Wholesale Trade Managers,48.76,52.22,47.29,48.9,52.46
Sports, Recreation and Cultural Centre Managers,49.49,54.44,51.44,49.9,50.05
Services Managers Not Elsewhere Classified,49.3,52.26,50.27,48.63,52.16
Unspecified Project Managers,48.23,51.18,51.79,48.22,49.78
Unspecified Professionals,49.47,49.72,49.72,51,49.96
Unspecified Analysts,51.41,49.56,52.24,50.79,50.82
Unspecified Consultants,50.05,50.81,51.15,50.12,50.14
Unspecified Advisors,49.42,50.45,52.88,49.75,49.88
Unspecified Product Managers,48.61,51.13,52.14,47.92,49.64
Unspecified Quality Specialists,52.42,49.28,50.97,50.24,49.26
Chemists,50.19,47.82,51.67,50.7,48.8
Mathematicians, Actuaries and Statisticians,50.52,46.98,53.57,50.28,47.45
Biologists, Botanists, Zoologists and Related Professionals,51.12,47.25,52.76,50.34,47.45
Farming, Forestry and Fisheries Advisers (Agronomists only),47.61,48.45,49.5,51.09,48.62
Environmental Protection Professionals,49.83,49.9,52.31,50.53,46.9
(Unspecified) Engineering Professionals,46.63,43.48,53.02,49.13,48.75
Industrial and Production Engineers,48.3,47.42,51.51,49.28,49.4
Civil Engineers,46.65,46.38,51.32,48.52,49.92
Mechanical Engineers,45.47,44.45,53.01,49.01,49.34
Chemical Engineers,48.17,46.73,50.37,49.7,50.1
Engineering Professionals Not Elsewhere Classified,48.03,46.88,49.97,49.03,50.26
Electrical Engineers,46.15,43.09,52.33,48.16,47.84
Electronics Engineers,44.41,40.11,54.36,52.06,45.46
Building Architects,51.51,49.25,53.63,49.7,48.58
Landscape Architects,53,49.97,53.54,50.21,48.04
Product and Garment Designers,53.51,51.31,54.93,50.09,47.44
Town and Traffic Planners,52.33,50.57,53,49.81,48.52
Cartographers and Surveyors,49.6,47.53,48.79,50.36,48.82
Graphic and Multimedia Designers,55.56,50.77,55.24,51.78,45.78
Health Professionals (unspecified),50.75,50.91,46.5,51.11,54.04
